Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Ordered_Time_Hour,Ordered_Time_Minute,distance
27,4.8,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,14,21,10,12.236790662986138
22,4.9,Fog,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,38,18,45,19.617581275547632
21,4.6,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,24,20,55,13.406350345879243
22,4.2,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,21,10,30,1.5124736191451338
37,4.9,Cloudy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,44,17,40,20.18081128090421
31,4.6,Fog,Medium,0,Snack,motorcycle,0.0,No,Urban,29,17,50,7.862668167410368
36,4.8,Sunny,Low,1,Snack,scooter,1.0,No,Urban,22,1,0,10.570353220161351
38,4.9,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,22,30,4.610379843931304
38,4.6,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,21,0,7.343586910761913
24,4.0,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,8,50,3.109073410946993
39,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Metropolitian,17,9,35,1.5525809531926802
36,4.1,Cloudy,Jam,1,Buffet,scooter,0.0,No,Urban,36,19,15,16.384574278446483
36,5.0,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,26,22,30,16.72211837577326
21,4.7,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,18,22,45,17.078665498349437
24,4.8,Stormy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,19,15,16.787776250726907
38,4.4,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,33,19,10,7.650862810437188
30,5.0,Sandstorms,High,1,Buffet,scooter,1.0,No,Metropolitian,31,13,45,6.1186308844114
36,4.7,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,33,21,40,4.540321236379021
27,4.6,Fog,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,16,22,25,7.862668167410368
35,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Urban,30,21,0,20.25304812543042
35,4.7,Fog,Low,3,Snack,bicycle,1.0,No,Metropolitian,18,21,0,2742.9524454553334
26,4.8,Stormy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,16,21,0,12.162424445777306
32,4.0,Sandstorms,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,39,18,25,4.610339345524684
37,4.9,Fog,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,25,21,0,7.862668167410368
24,4.2,Fog,Jam,2,Meal,scooter,2.0,No,Urban,39,21,0,13.788282220013778
39,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,Metropolitian,25,12,40,6.050355980667947
21,4.6,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,23,17,20,13.9718816833163
32,4.9,Sandstorms,Jam,1,Snack,scooter,1.0,No,Urban,27,20,15,11.916705005077658
34,4.9,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,28,19,35,13.989532157306371
39,5.0,Sunny,Low,1,Meal,motorcycle,0.0,No,Metropolitian,12,8,10,1.4898424937942714
23,4.1,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,23,10,20,3.025149285677504
32,4.5,Sunny,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,24,17,20,4.589099458435952
29,4.4,Windy,High,0,Meal,motorcycle,1.0,No,Metropolitian,31,13,15,6.209250269756872
20,4.8,Fog,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,29,18,45,20.176414243687518
22,4.5,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,24,22,30,13.76397722442764
37,4.4,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,36,19,45,19.76027880154466
37,4.8,Sunny,Low,1,Buffet,motorcycle,1.0,No,Urban,21,22,25,13.830131455506187
26,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,18,1,0,13.62208523449083
39,4.6,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,28,22,45,16.90381483815878
21,4.9,Fog,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,19,8,30,3.0645104714747093
36,4.7,Sunny,Low,0,Drinks,motorcycle,1.0,No,Urban,27,23,20,10.880650831531838
34,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,28,21,15,17.16536125639379
34,4.9,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,27,19,10,4.657568579194643
29,4.6,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,25,20,40,17.137414711878986
34,4.7,Cloudy,Medium,1,Buffet,scooter,1.0,No,Urban,16,15,40,5.968779676050775
21,4.4,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,22,9,30,1.5323511358881128
22,4.8,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,10,20,1.5526813140972442
20,4.6,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,17,18,30,19.915971082561143
23,4.1,Fog,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,32,21,0,10.564981870374336
34,4.7,Sunny,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,19,19,10,7.562267471532845
23,4.6,Cloudy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,35,19,10,14.022268860182423
23,4.8,Fog,Low,1,Snack,motorcycle,0.0,No,Metropolitian,26,22,35,20.180936931739232
36,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,35,21,50,4.528162065607132
33,4.8,Cloudy,Jam,1,Drinks,scooter,2.0,No,Urban,44,20,20,19.91059239709516
27,4.8,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,29,21,50,19.36320422209685
26,4.9,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,28,18,40,13.583440059634135
27,4.4,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20,50,13.97194896017493
31,5.0,Cloudy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,15,23,35,7.573442055128481
35,4.7,Fog,Low,3,Snack,bicycle,1.0,No,Metropolitian,30,21,0,16.601276790345963
34,4.6,Sandstorms,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,18,22,25,17.097896810816284
33,5.0,Cloudy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,27,22,25,13.7888461168452
35,4.8,Sunny,Low,2,Snack,scooter,1.0,No,Urban,20,21,0,10.58713106938149
26,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,31,19,55,13.681416111912892
35,4.7,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,30,21,0,1.5544772821910615
32,5.0,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,33,21,45,9.32635938574064
38,4.6,Sunny,Low,2,Meal,scooter,1.0,No,Metropolitian,17,22,30,10.709003371535417
35,4.6,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,22,50,13.631330662170871
21,4.7,Stormy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,26,21,30,11.983433564440734
33,5.0,Sandstorms,Low,2,Drinks,scooter,1.0,No,Metropolitian,24,9,10,3.058968615637044
39,4.1,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Semi-Urban,48,20,35,16.59866734050554
34,5.0,Windy,Jam,0,Drinks,motorcycle,1.0,Yes,Metropolitian,42,21,50,16.635770753608572
23,4.1,Cloudy,High,2,Snack,scooter,0.0,No,Metropolitian,33,11,55,3.0408160982095778
37,4.9,Cloudy,High,1,Snack,scooter,0.0,No,Metropolitian,34,14,50,6.290134677634678
33,4.3,Windy,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,36,21,25,17.138077427627863
26,4.8,Sunny,Low,2,Snack,scooter,1.0,No,Metropolitian,24,10,55,1.5524290130723983
22,4.0,Sandstorms,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,32,20,10,7.763161028493024
23,4.8,Stormy,Jam,1,Meal,motorcycle,1.0,No,Urban,29,20,20,13.610877575672198
39,4.5,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Urban,27,18,25,4.610367445745056
34,5.0,Cloudy,Jam,2,Buffet,scooter,1.0,Yes,Metropolitian,44,21,25,13.481108157687446
29,4.1,Cloudy,Medium,1,Snack,scooter,0.0,No,Metropolitian,35,18,55,13.989695713800396
26,4.8,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Urban,23,18,50,13.97014466545326
35,4.6,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Urban,22,22,10,20.286882109878903
29,5.0,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,19,8,55,3.0646768621690934
26,4.9,Stormy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,29,20,50,16.388699354723066
23,4.8,Stormy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,14,22,40,4.4942066418864055
35,4.9,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,26,22,55,13.58258356489648
37,4.9,Fog,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,16,18,20,9.314781588433537
39,5.0,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,41,23,10,20.183799025948787
31,4.8,Sunny,Low,1,Snack,motorcycle,0.0,No,Metropolitian,16,21,0,1.5580833985948437
37,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,38,11,55,1.5095756042667012
38,4.3,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,43,23,10,17.07302628964209
24,4.9,Sandstorms,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,26,17,55,7.790401360105752
29,4.7,Sunny,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,24,8,50,3.059443338897214
36,4.9,Cloudy,Jam,1,Meal,scooter,1.0,No,Metropolitian,35,19,10,13.68204452608078
37,4.9,Sandstorms,High,2,Buffet,scooter,1.0,No,Metropolitian,29,11,40,2.9375685899810504
24,4.9,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,23,17,45,10.58681760722298
26,4.7,Fog,Jam,2,Meal,scooter,1.0,No,Urban,24,20,40,7.683253857182166
36,4.3,Cloudy,High,2,Meal,scooter,2.0,No,Urban,39,12,35,6.242510272007538
23,4.7,Windy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,27,18,10,10.90628903651029
20,4.8,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,21,18,20,4.717601092054723
27,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,16,23,20,9.17632585467143
29,4.7,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,12,19,55,12.237791615217148
29,4.5,Fog,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,47,21,55,10.906379374468557
24,4.9,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,8,20,3.109024397229972
25,4.7,Fog,Jam,2,Drinks,scooter,1.0,No,Urban,21,21,0,7.862668167410368
27,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,17,17,35,19.396015245394
27,4.9,Stormy,High,1,Drinks,motorcycle,0.0,No,Metropolitian,13,13,45,6.146243658393431
25,4.8,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,26,20,10,20.253748386838097
24,4.7,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,19,10,10,1.5525809531926802
39,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,19,55,16.822155609317257
22,4.4,Stormy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,23,25,8.929054495274071
27,4.7,Windy,Jam,1,Buffet,scooter,0.0,No,Urban,20,21,50,20.887107461224957
39,4.4,Cloudy,Low,0,Meal,motorcycle,1.0,Yes,Metropolitian,42,23,40,16.900616226154256
26,4.6,Stormy,High,1,Drinks,scooter,1.0,No,Metropolitian,28,13,45,6.105261700694802
24,5.0,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Urban,15,21,0,10.865584127340645
22,4.1,Sunny,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,54,19,25,7.546401421474661
37,4.6,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,28,18,50,13.990151177257513
25,5.0,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,16,8,45,1.4686334355939883
34,4.6,Cloudy,Medium,2,Meal,motorcycle,3.0,Yes,Metropolitian,44,17,20,13.768325585874765
27,4.7,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,14,15,20,6.117673772819904
35,4.7,Cloudy,Jam,2,Drinks,motorcycle,0.0,Yes,Metropolitian,49,21,0,10.724750462255022
26,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,31,17,45,13.97014466545326
26,4.9,Stormy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,21,20,55,19.674161798239076
39,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,27,21,40,19.66599261171412
28,5.0,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,16,19,40,19.915731481294102
25,4.9,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,24,1,0,10.757536302641864
34,3.5,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,31,1,0,14.02175080337712
34,4.6,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,19,10,55,1.5127140854704322
22,4.9,Sunny,Low,2,Meal,motorcycle,1.0,No,Metropolitian,23,22,50,8.93778311563518
33,5.0,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,26,18,25,16.63687991359242
36,4.7,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,25,9,40,1.5321262845594088
23,4.5,Sandstorms,Low,2,Drinks,scooter,0.0,No,Metropolitian,13,23,50,13.829019124454268
31,4.2,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,37,20,20,10.866277692518308
38,4.9,Stormy,Medium,1,Meal,scooter,0.0,No,Urban,31,17,45,9.177683834695673
36,3.8,Sandstorms,Jam,2,Meal,scooter,0.0,No,Metropolitian,35,19,30,20.20724042537554
31,3.7,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,20,55,10.417061581463946
36,4.6,Sandstorms,Low,2,Buffet,scooter,1.0,No,Metropolitian,24,8,30,3.025059809277375
33,4.9,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,19,9,50,3.064508186852737
38,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,30,19,25,9.088013799330469
39,5.0,Cloudy,Jam,1,Meal,scooter,2.0,No,Urban,39,21,55,13.830756172608512
36,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,29,18,55,9.19302787417212
22,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,26,17,55,9.315071060294844
39,4.9,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,12,15,5.958965689667192
22,4.8,Sandstorms,Low,1,Snack,scooter,1.0,No,Urban,13,8,15,3.059554247595471
39,4.8,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,20,1,0,11.00773476374462
33,4.8,Sunny,Low,2,Snack,scooter,1.0,No,Urban,17,22,15,7.682703792667339
35,4.6,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,29,11,10,1.5441370096832314
33,3.9,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,35,1,0,16.849904095492622
26,4.7,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,32,19,15,13.762097103297643
27,4.7,Fog,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,14,8,40,1.5545625412407005
34,4.5,Windy,Jam,1,Meal,scooter,0.0,No,Metropolitian,39,20,10,13.184475668044945
29,4.2,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,42,21,0,12.074114327172763
23,4.7,Fog,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,25,18,10,10.906432552887628
30,4.6,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,28,18,45,12.256574293065658
33,4.7,Sunny,Low,2,Drinks,motorcycle,0.0,No,Urban,16,9,45,3.116288055540994
21,4.6,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,17,10,25,3.029527086813746
28,4.6,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,37,20,25,17.098593053938863
27,4.7,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,19,8,25,3.104691169539904
39,5.0,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Urban,37,15,25,5.959266895919677
22,4.8,Sunny,Low,2,Meal,motorcycle,1.0,No,Metropolitian,17,10,40,3.145067434621583
35,4.7,Fog,Low,3,Drinks,motorcycle,1.0,No,Metropolitian,33,21,0,7.649506318328791
37,4.7,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,30,17,10,19.36320422209685
27,4.5,Sunny,Medium,2,Buffet,scooter,1.0,No,Metropolitian,18,18,55,8.988071540167201
35,4.7,Cloudy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,33,17,30,17.07670421054038
36,4.4,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Urban,51,21,25,12.25659774869038
30,5.0,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,19,23,55,7.325368489857699
31,4.8,Stormy,Low,2,Meal,motorcycle,1.0,No,Urban,27,9,15,3.104803710518419
21,4.6,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,18,35,13.828993309155416
25,4.5,Windy,Low,1,Meal,motorcycle,0.0,No,Urban,10,1,0,4.663545220952835
29,4.2,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,15,22,25,4.561223681551846
33,4.6,Sunny,Low,2,Drinks,scooter,0.0,No,Metropolitian,25,22,20,13.68237887648496
39,3.7,Windy,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,40,21,55,16.72238039080485
28,4.9,Stormy,Jam,2,Drinks,scooter,0.0,No,Urban,25,20,50,16.383856071848083
24,4.9,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,22,19,30,16.659979129063025
28,4.7,Windy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,15,22,35,10.707006464770936
29,4.9,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,25,15,50,5.860610778162196
34,4.9,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,32,14,55,6.210045163136143
26,4.1,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,29,23,10,9.193021332844554
23,4.3,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,38,21,40,8.98773907634356
39,4.8,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,53,20,35,19.66102221350665
31,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,29,19,35,4.63237797773287
31,4.1,Windy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,34,20,30,4.464766878776638
32,4.7,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,16,8,40,1.5525809531926802
20,4.5,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,30,20,10,11.00773476374462
31,5.0,Cloudy,Jam,1,Meal,scooter,3.0,No,Metropolitian,48,20,55,17.076596635444833
29,5.0,Sandstorms,High,1,Snack,motorcycle,1.0,No,Urban,23,13,10,6.058923147526397
34,3.8,Stormy,Medium,1,Meal,scooter,0.0,No,Metropolitian,31,18,40,16.852118690780628
36,4.9,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,32,21,15,7.448937379729502
22,4.8,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Urban,28,21,55,20.25310137263237
36,4.6,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,25,21,45,7.546800541055753
25,4.8,Windy,Low,1,Snack,scooter,0.0,No,Metropolitian,13,22,55,7.761779919073711
33,4.5,Sandstorms,Low,2,Snack,scooter,0.0,No,Metropolitian,28,23,20,7.862668167410368
26,4.8,Cloudy,Medium,2,Snack,scooter,0.0,No,Urban,10,15,10,5.860416837896751
35,4.1,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,31,21,15,10.254107230645324
34,5.0,Cloudy,Low,1,Buffet,scooter,1.0,No,Urban,16,8,55,3.145067434621583
28,4.9,Stormy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,25,17,25,9.326725258722025
30,4.6,Windy,Low,1,Drinks,scooter,0.0,No,Urban,27,23,15,4.4691938252042425
31,4.5,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,39,21,45,16.646744821981173
35,4.6,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,26,20,55,9.177805335295874
33,4.8,Sandstorms,Jam,0,Buffet,motorcycle,3.0,No,Urban,46,19,55,10.56512884564776
37,4.5,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,34,23,30,12.209940785785736
22,4.9,Sunny,Jam,1,Snack,motorcycle,1.0,No,Urban,24,19,10,10.906149360969732
20,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Urban,16,20,40,12.162115936702182
25,4.6,Fog,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,16,15,40,6.209532713916441
29,4.8,Sandstorms,Low,2,Snack,scooter,0.0,No,Metropolitian,11,8,15,1.5523608800116515
28,4.8,Cloudy,Jam,0,Drinks,motorcycle,3.0,No,Semi-Urban,48,21,45,13.970652591255588
33,4.2,Sunny,Jam,1,Buffet,scooter,1.0,No,Metropolitian,33,19,25,10.906412696832646
22,4.4,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,38,21,10,7.719450234291639
38,4.2,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,33,10,55,1.5526813140972442
24,4.7,Windy,Jam,1,Snack,scooter,0.0,No,Metropolitian,17,19,10,20.44292976252901
28,5.0,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,17,23,10,17.07362495419754
37,4.6,Sunny,Medium,2,Meal,scooter,0.0,No,Metropolitian,15,17,25,9.435201537430713
